,RV_15s,RV_2min,RV_5min,RV_10min,RV_15min,DR,RK,open,high,low,close
2015-05-28,2.14E-05,2.34E-05,2.29E-05,2.47E-05,1.98E-05,0.004525961,2.16E-05,212.33,212.59,211.63,212.49
2015-05-29,3.13E-05,3.22E-05,3.24E-05,3.99E-05,3.37E-05,0.007607834,3.41E-05,212.38,212.43,210.82,211.1
2015-06-01,4.83E-05,5.52E-05,4.50E-05,4.04E-05,3.14E-05,0.008085724,4.22E-05,211.93,212.34,210.63,211.58
2015-06-02,3.67E-05,3.79E-05,3.65E-05,5.44E-05,3.98E-05,0.009042552,2.96E-05,211.04,212.18,210.27,211.37
2015-06-03,3.72E-05,3.95E-05,1.97E-05,1.80E-05,1.61E-05,0.006273458,2.60E-05,211.98,212.67,211.34,211.93
2015-06-04,6.32E-05,7.52E-05,5.84E-05,5.03E-05,3.43E-05,0.009631655,4.01E-05,211.07,211.78,209.75,210.22
2015-06-05,3.43E-05,3.64E-05,4.53E-05,4.78E-05,3.74E-05,0.007627075,3.77E-05,209.95,210.58,208.98,209.79
2015-06-08,2.82E-05,3.02E-05,1.60E-05,1.25E-05,1.25E-05,0.006886355,1.60E-05,209.63,209.83,208.39,208.47
2015-06-09,2.74E-05,3.13E-05,2.23E-05,1.98E-05,2.37E-05,0.006742111,2.89E-05,208.46,209.095,207.69,208.45
2015-06-10,4.49E-05,5.07E-05,4.95E-05,5.28E-05,5.24E-05,0.009935667,2.18E-05,209.38,211.4,209.31,210.94
2015-06-11,2.55E-05,2.89E-05,2.91E-05,2.92E-05,2.19E-05,0.004110663,1.56E-05,211.5,212.08,211.21,211.6
2015-06-12,4.41E-05,4.67E-05,3.77E-05,5.40E-05,5.83E-05,0.005516993,2.01E-05,210.635,210.84,209.68,209.99
2015-06-15,8.91E-05,0.000108578,0.000108461,9.57E-05,0.000110558,0.007909348,2.98E-05,208.64,209.44,207.79,209.09
2015-06-16,1.89E-05,2.53E-05,3.25E-05,1.81E-05,2.13E-05,0.007731628,2.26E-05,208.93,210.34,208.72,210.26
2015-06-17,5.17E-05,4.50E-05,5.03E-05,5.01E-05,6.01E-05,0.009270551,3.93E-05,210.62,211.32,209.37,210.62
